Load,NDV,Solar,Wind
9614.69,7940.69,0,1674
10013.92,8168.92,0,1845
9979.93,8182.93,21,1776
10063.37,8170.37,107,1786
10040.69,8203.69,147,1690
10020.79,8078.79,301,1641
10014.17,8187.17,328,1499
10075.84,8349.84,364,1362
9964.37,8857.37,259,848
9921.89,9026.89,251,644
9964.9,9380.9,131,453
9753.26,9481.26,18,254
9952.91,9720.91,0,232
9870.81,9712.81,0,158
9705.84,9598.84,0,107
9522.54,9412.54,0,110
9240.64,9154.64,0,86
8811.8,8734.8,0,77
8909.44,8826.44,0,83
8837.16,8719.16,0,118
8798.17,8542.17,0,256
8805.97,8449.97,0,356
8866.73,8508.73,0,358
9194.78,8612.78,0,582
9702.69,8888.69,0,814
10023.65,9410.65,0,613
10064.74,9377.74,10,677
10117.92,9429.92,34,654
10059.04,9518.04,63,478
9965.07,9307.07,90,568
10087.15,9389.15,116,582
9976.37,9655.37,107,214
9865.13,9567.13,93,205
9901.56,9677.56,113,111
9980.35,9857.35,55,68
9845.23,9808.23,1,36
9945.22,9875.22,0,70
9841.4,9765.4,0,76
9819.11,9714.11,0,105
9583.3,9479.3,0,104
9354.53,9239.53,0,115
9168.02,9057.02,0,111
8977,8878,0,99
8940.57,8855.57,0,85
8875.88,8742.88,0,133
8799.58,8617.58,0,182
8862.61,8621.61,0,241
8968.31,8680.31,0,288
9147.71,8909.71,0,238
9433.68,9151.68,0,282
9550.01,9214.01,31,305
9741.38,9326.38,40,375
9781.22,9183.22,77,521
9827.72,8995.72,158,674
9820.1,8802.1,144,874
9825.65,8749.65,131,945
9811.69,8620.69,101,1090
9857.69,8628.69,92,1137
9921.28,8793.28,41,1087
10066.24,8996.24,0,1070
9982.33,9002.33,0,980
9893.03,9009.03,0,884
9712.29,8922.29,0,790
9660.52,8808.52,0,852
9442.98,8613.98,0,829
9254.03,8282.03,0,972
9046.2,7982.2,0,1064
8964.71,7871.71,0,1093
8952.8,7862.8,0,1090
8864.23,7785.23,0,1079
8961.7,7774.7,0,1187
9063,7868,0,1195
9188.79,7953.79,0,1235
9307.84,8044.84,0,1263
9514.82,8322.82,1,1191
9743.14,8578.14,38,1127
9913.96,8718.96,105,1090
9953.77,8725.77,169,1059
9760.15,8537.15,239,984
9725.52,8697.52,186,842
9751.89,8906.89,99,746
9767.44,9115.44,102,550
9921.26,9529.26,52,340
9862.18,9664.18,12,186
9880.45,9762.45,0,118
9738.54,9661.54,0,77
9697.89,9637.89,0,60
9423.41,9322.41,0,101
9196.49,8894.49,0,302
9002.29,8531.29,0,471
8919.07,8080.07,0,839
8809.06,7740.06,0,1069
8773.97,7544.97,0,1229
8829.6,7461.6,0,1368
8921.72,7457.72,0,1464
9299.7,7874.7,0,1425
9781.78,8290.78,0,1491
10126.47,8449.47,0,1677
10130.88,8363.88,157,1610
10108.35,8085.35,520,1503
10053.65,7848.65,620,1585
10051.09,8010.09,374,1667
10045.14,7780.14,499,1766
10059.93,7865.93,509,1685
10125.08,7951.08,596,1578
10092.92,7683.92,634,1775
10060.21,8244.21,110,1706
10034.39,8255.39,11,1768
10092.95,8449.95,0,1643
9966.36,8295.36,0,1671
9869.36,8377.36,0,1492
9682.52,8230.52,0,1452
9281.47,7879.47,0,1402
9126.25,7568.25,0,1558
8976.75,7452.75,0,1524
8944.3,7564.3,0,1380
8890.81,7402.81,0,1488
8907.96,7420.96,0,1487
8988.86,7806.86,0,1182
9303.07,8224.07,0,1079
9693.4,8676.4,0,1017
10057.14,8894.14,0,1163
10005.73,8749.73,91,1165
10020.99,8756.99,155,1109
10021.86,8589.86,136,1296
9931.43,8250.43,406,1275
9946.22,7943.22,533,1470
9974.42,7870.42,636,1468
9960.06,8164.06,602,1194
9943.54,8329.54,644,970
9991.68,8693.68,357,941
9887.01,9116.01,11,760
10035.33,9331.33,0,704
9990.12,9312.12,0,678
9805.73,8899.73,0,906
9593.27,8657.27,0,936
9282.66,8428.66,0,854
9022.23,8072.23,0,950
8921.85,7900.85,3,1018
8938.73,7891.73,0,1047
8939.23,7923.23,0,1016
8962.1,8036.1,0,926
9127.88,8138.88,0,989
9354.56,8390.56,0,964
9749.96,8994.96,0,755
9986.27,9154.27,0,832
10061.79,9092.79,186,783
10140.3,8576.3,521,1043
10111.75,8353.75,606,1152
10064.09,8149.09,621,1294
10007.63,7956.63,631,1420
10007.11,7749.11,604,1654
10027.71,7655.71,725,1647
10013.76,7585.76,696,1732
10082.02,7854.02,359,1869
