load,NDV,Solar,Wind
8368.01,8255.01,0,113
8378.82,8265.82,0,113
8365.59,8254.59,0,111
8370.3,8259.3,0,111
8377.44,8266.44,0,111
8384.62,8273.62,0,111
8392.85,8280.85,0,112
8379.81,8264.81,0,115
8372.64,8254.64,0,118
8376.14,8256.14,0,120
8379.3,8257.3,0,122
8375.7,8251.7,0,124
8383.95,8257.95,0,126
8365.34,8236.34,0,129
8381.7,8251.7,0,130
8339.67,8206.67,0,133
8375.1,8241.1,0,134
8385.21,8248.21,0,137
8335.2,8198.2,0,137
8346.69,8210.69,0,136
8327.04,8190.04,0,137
8323.37,8188.37,0,135
8337.17,8201.17,0,136
8338.67,8204.67,0,134
8326.6,8194.6,0,132
8341.5,8211.5,0,130
8329.67,8203.67,0,126
8312.57,8186.57,0,126
8323.86,8199.86,0,124
8361.48,8238.48,0,123
8326.74,8206.74,0,120
8348.92,8229.92,0,119
8320.34,8202.34,0,118
8335.79,8220.79,0,115
8325.93,8209.93,0,116
8336.72,8219.72,0,117
8358.77,8241.77,0,117
8370.63,8254.63,0,116
8336.47,8222.47,0,114
8320.3,8206.3,0,114
8319.53,8209.53,0,110
8325.42,8215.42,0,110
8358.21,8250.21,0,108
8335.33,8228.33,0,107
8363.47,8258.47,0,105
8321.06,8217.06,0,104
8303.12,8200.12,0,103
8328.5,8228.5,0,100
8318,8220,0,98
8326.42,8232.42,0,94
8327.86,8236.86,0,91
8337.26,8247.26,0,90
8329.93,8242.93,0,87
8343.53,8259.53,0,84
8334.25,8253.25,0,81
8342.06,8264.06,0,78
8331.1,8252.1,0,79
8327.51,8249.51,0,78
8327.42,8250.42,0,77
8360.09,8286.09,0,74
8378.23,8306.23,0,72
8365.15,8293.15,0,72
8367.23,8296.23,0,71
8368.68,8297.68,0,71
8371.71,8302.71,0,69
8351.77,8283.77,0,68
8394.78,8326.78,0,68
8360.77,8293.77,0,67
8363.66,8299.66,0,64
8370.59,8307.59,0,63
8385.23,8322.23,0,63
8368.05,8306.05,0,62
8364.97,8302.97,0,62
8374.78,8313.78,0,61
8371.11,8311.11,0,60
8350.1,8292.1,0,58
8327.65,8269.65,0,58
8377.5,8320.5,0,57
8360.52,8302.52,0,58
8358.4,8301.4,0,57
8370.88,8315.88,0,55
8364.4,8308.4,0,56
8381.39,8326.39,0,55
8376.59,8321.59,0,55
8361.85,8307.85,0,54
8359.81,8306.81,0,53
8354.98,8301.98,0,53
8366.9,8314.9,0,52
8359.94,8307.94,0,52
8362.61,8310.61,0,52
8383.7,8331.7,0,52
8371.81,8320.81,0,51
8349.72,8299.72,0,50
8353.92,8304.92,0,49
8366.02,8316.02,0,50
8362.75,8312.75,0,50
8356.28,8306.28,0,50
8373.16,8323.16,0,50
8382.75,8335.75,0,47
8371.53,8323.53,0,48
8376.93,8329.93,0,47
8358.89,8309.89,0,49
8331.06,8284.06,0,47
8332.88,8283.88,0,49
8334.09,8287.09,0,47
8337.4,8287.4,0,50
8336.34,8285.34,0,51
8325.38,8278.38,0,47
8350.81,8303.81,0,47
8344.61,8297.61,1,46
8342.89,8293.89,3,46
8357.33,8307.33,4,46
8348.83,8292.83,8,48
8349.6,8292.6,8,49
8348.75,8289.75,9,50
8355.29,8293.29,11,51
8366.22,8303.22,13,50
8371.86,8307.86,14,50
8374.04,8308.04,16,50
8339.23,8275.23,17,47
8350.19,8286.19,18,46
8377.85,8312.85,19,46
8381.55,8314.55,21,46
8383.24,8316.24,22,45
8385.82,8317.82,23,45
8401.91,8332.91,25,44
8412.52,8342.52,27,43
8399.12,8329.12,28,42
8411.69,8340.69,29,42
8392.27,8321.27,31,40
8406.16,8334.16,32,40
8425.81,8340.81,45,40
8438.11,8351.11,48,39
8462.49,8367.49,55,40
8472.83,8372.83,60,40
8482.11,8380.11,62,40
8492.99,8385.99,67,40
8490.48,8378.48,72,40
8514.12,8397.12,75,42
8526.5,8404.5,79,43
8527.02,8403.02,82,42
8539.24,8411.24,85,43
8572.86,8439.86,91,42
8556.67,8419.67,94,43
8555.08,8417.08,95,43
8540.45,8397.45,96,47
8579.81,8434.81,99,46
8595.48,8448.48,102,45
8587.02,8435.02,107,45
8555.07,8400.07,110,45
8586.53,8424.53,117,45
8589.69,8419.69,125,45
8591.86,8406.86,137,48
8586.97,8391.97,147,48
8599.24,8398.24,156,45
8615.92,8405.92,161,49
8629.94,8406.94,168,55
8625.1,8397.1,173,55
8633.61,8404.61,177,52
8654.32,8415.32,183,56
8638.82,8390.82,188,60
8663.04,8410.04,194,59
8697.86,8433.86,199,65
8705.57,8430.57,206,69
8701.15,8424.15,212,65
8731.59,8445.59,217,69
8757.45,8467.45,222,68
8752.61,8456.61,229,67
8765.69,8460.69,236,69
8776.62,8464.62,242,70
8780.87,8460.87,247,73
8780.35,8460.35,247,73
8825.52,8486.52,260,79
8817.02,8470.02,266,81
8818.81,8465.81,272,81
8820.85,8457.85,279,84
8822.02,8453.02,284,85
8847.67,8468.67,290,89
8850.45,8465.45,296,89
8856.86,8462.86,302,92
8824.69,8419.69,309,96
8828.38,8414.38,316,98
8843.58,8421.58,322,100
8888.09,8458.09,328,102
8896.83,8454.83,335,107
8887.24,8436.24,342,109
8904.16,8445.16,347,112
8904.3,8438.3,353,113
8926.46,8451.46,359,116
8927.73,8445.73,364,118
8922.16,8432.16,368,122
8951.7,8455.7,372,124
8941.9,8430.9,382,129
8956.38,8438.38,387,131
8998.24,8470.24,398,130
8987.68,8449.68,407,131
9008.16,8458.16,417,133
9016.92,8458.92,424,134
9016,8452,428,136
9033.3,8459.3,437,137
9038.9,8457.9,444,137
9058.4,8471.4,449,138
9080.45,8489.45,454,137
9042.64,8452.64,455,135
9086.72,8487.72,459,140
9091.93,8483.93,466,142
9087.62,8471.62,472,144
9103.64,8479.64,476,148
9105.82,8478.82,482,145
9116.42,8479.42,491,146
9084.29,8441.29,497,146
9067.15,8416.15,503,148
9105.43,8449.43,506,150
9089.11,8423.11,516,150
9097.09,8427.09,522,148
9091.82,8414.82,530,147
9125.12,8443.12,537,145
9114.5,8432.5,542,140
9105.49,8416.49,548,141
9115.68,8420.68,554,141
9120.93,8426.93,554,140
9128.08,8439.08,551,138
9162.13,8473.13,553,136
9126.91,8432.91,560,134
9182.71,8480.71,568,134
9182.74,8474.74,575,133
9185.27,8470.27,583,132
9207.81,8476.81,598,133
9166.44,8428.44,609,129
9178.03,8431.03,619,128
9192.62,8433.62,631,128
9188.54,8420.54,642,126
9198.08,8418.08,655,125
9217.32,8429.32,664,124
9229.12,8432.12,674,123
9214.14,8405.14,685,124
9218.66,8403.66,693,122
9212.38,8387.38,703,122
9263.2,8431.2,711,121
9275.66,8434.66,719,122
9269.75,8429.75,720,120
9288.75,8440.75,729,119
9292.27,8437.27,734,121
9305.38,8458.38,725,122
9332.09,8489.09,720,123
9317.7,8480.7,716,121
9331.11,8498.11,712,121
9327.36,8505.36,702,120
9326.93,8508.93,697,121
9292.33,8464.33,704,124
9301.75,8463.75,715,123
9330.38,8482.38,726,122
9317.21,8469.21,727,121
9330.75,8458.75,752,120
9363.9,8484.9,761,118
9360.67,8472.67,772,116
9376.35,8475.35,781,120
9423.62,8514.62,788,121
9413.89,8500.89,796,117
9400.85,8478.85,805,117
9399.02,8471.02,811,117
9428.44,8502.44,809,117
9430.58,8502.58,811,117
9424.7,8496.7,814,114
9442.34,8510.34,815,117
9445.11,8509.11,819,117
9464.14,8527.14,820,117
9471.3,8531.3,824,116
9465.96,8519.96,827,119
9478.3,8528.3,830,120
9482.81,8531.81,834,117
9494.99,8538.99,839,117
9520.91,8560.91,841,119
9502.1,8538.1,845,119
9512.15,8544.15,848,120
9514.4,8544.4,852,118
9449.18,8475.18,854,120
9449.38,8473.38,856,120
9439.69,8462.69,859,118
9467.89,8488.89,861,118
9521.64,8541.64,862,118
9514.04,8527.04,865,122
9525.35,8531.35,868,126
9531.69,8536.69,868,127
9485.47,8492.47,870,123
9507.57,8508.57,873,126
9501.41,8502.41,873,126
9531.77,8528.77,875,128
9501.04,8495.04,875,131
9526.77,8517.77,877,132
9510.53,8498.53,879,133
9545.78,8531.78,882,132
9524.76,8505.76,885,134
9521.65,8498.65,887,136
9533.5,8507.5,889,137
9541.02,8508.02,893,140
9533.31,8497.31,894,142
9547.37,8508.37,895,144
9559.18,8512.18,899,148
9572.07,8522.07,902,148
9575.71,8526.71,902,147
9583.66,8534.66,904,145
9576.1,8523.1,904,149
9590.23,8530.23,907,153
9576.98,8522.98,904,150
9604.38,8548.38,906,150
9599.21,8535.21,914,150
9611.32,8540.32,915,156
9613.91,8532.91,918,163
9612.61,8525.61,921,166
9626.29,8536.29,923,167
9612.9,8514.9,928,170
9610.26,8500.26,933,177
9581.21,8463.21,936,182
9620.93,8501.93,936,183
9580.78,8453.78,939,188
9608.91,8475.91,941,192
9605.47,8464.47,942,199
9646.47,8496.47,944,206
9652.74,8495.74,947,210
9646.41,8479.41,948,219
9674.49,8498.49,950,226
9658.93,8476.93,951,231
9666.8,8473.8,951,242
9687.05,8485.05,952,250
9679.78,8468.78,952,259
9711.48,8495.48,950,266
9725.53,8497.53,950,278
9732.27,8492.27,952,288
9719.25,8479.25,955,285
9723.25,8481.25,956,286
9733.24,8483.24,959,291
9763.43,8506.43,959,298
9766.29,8498.29,964,304
9767.96,8501.96,959,307
9743.14,8467.14,961,315
9772.34,8497.34,962,313
9785.27,8499.27,961,325
9799.94,8506.94,961,332
9799.29,8500.29,963,336
9816.56,8503.56,964,349
9784.05,8467.05,966,351
9782.03,8459.03,969,354
9785.25,8452.25,971,362
9795.94,8456.94,972,367
9778.85,8429.85,972,377
9805.07,8461.07,975,369
9799.09,8446.09,976,377
9786.93,8432.93,973,381
9814.06,8452.06,974,388
9830.98,8459.98,974,397
9860.83,8481.83,973,406
9888.98,8501.98,975,412
9880.12,8488.12,978,414
9905.49,8510.49,980,415
9897.84,8499.84,981,417
9922.4,8522.4,983,417
9887.64,8480.64,984,423
9904.42,8495.42,984,425
9907.82,8491.82,985,431
9899.04,8481.04,985,433
9926.03,8504.03,981,441
9924.1,8492.1,982,450
9941.39,8506.39,988,447
9935.6,8503.6,988,444
9971.13,8542.13,986,443
9948.38,8511.38,991,446
9961.1,8512.1,993,456
9896.48,8449.48,993,454
9946.69,8491.69,995,460
9970.04,8513.04,996,461
9976.77,8512.77,999,465
9955.51,8489.51,1000,466
9967.3,8492.3,1005,470
9958.27,8485.27,1006,467
9956.92,8471.92,1008,477
9944.99,8457.99,1011,476
9949.13,8465.13,1013,471
9959.84,8472.84,1013,474
9953.68,8463.68,1013,477
9971.06,8473.06,1012,486
9952.65,8447.65,1013,492
9955,8451,1014,490
9950.88,8445.88,1017,488
9982.24,8481.24,1020,481
9981.67,8465.67,1024,492
9979.98,8461.98,1025,493
9958.68,8443.68,1029,486
9966.45,8434.45,1033,499
10007.91,8457.91,1039,511
9999.22,8460.22,1040,499
9992.47,8450.47,1040,502
10021.49,8471.49,1042,508
10073.53,8506.53,1044,523
9976.03,8413.03,1034,529
10050.04,8488.04,1035,527
10041.9,8480.9,1034,527
10081.19,8521.19,1032,528
10100.35,8528.35,1032,540
10108.98,8531.98,1030,547
10103.5,8517.5,1032,554
10087.91,8498.91,1033,556
10114.17,8520.17,1036,558
10130.99,8545.99,1039,546
10133.91,8550.91,1041,542
10133.97,8537.97,1043,553
10138.78,8537.78,1045,556
10154.27,8551.27,1046,557
10125.7,8515.7,1046,564
10096.12,8467.12,1050,579
10110.69,8494.69,1048,568
10115.01,8488.01,1052,575
10130.11,8514.11,1052,564
10137.66,8504.66,1060,573
10169.01,8531.01,1063,575
10160.1,8516.1,1066,578
10165.52,8531.52,1067,567
10174.6,8530.6,1071,573
10168.99,8524.99,1071,573
10201.49,8542.49,1074,585
10213.38,8546.38,1077,590
10155.53,8484.53,1080,591
10205.63,8536.63,1082,587
10188.29,8516.29,1083,589
10198.33,8524.33,1082,592
10196.64,8509.64,1082,605
10194.07,8500.07,1081,613
10168.48,8472.48,1082,614
10213.74,8516.74,1079,618
10242.74,8533.74,1077,632
10211.45,8499.45,1077,635
10215.63,8505.63,1081,629
10228.85,8512.85,1084,632
10206.34,8486.34,1084,636
10218.18,8482.18,1085,651
10244.95,8496.95,1084,664
10237.77,8477.77,1083,677
10209.67,8444.67,1081,684
10213.14,8450.14,1081,682
10280.44,8494.44,1083,703
10267.54,8492.54,1081,694
10231.94,8458.94,1079,694
10229.84,8431.84,1079,719
10237.58,8446.58,1073,718
10280.81,8499.81,1060,721
10263.27,8483.27,1066,714
10250.46,8450.46,1066,734
10228.38,8427.38,1067,734
10237.82,8415.82,1059,763
10258.34,8437.34,1062,759
10248.33,8422.33,1058,768
10271.65,8444.65,1045,782
10276.29,8454.29,1042,780
10274.61,8439.61,1043,792
10302.52,8471.52,1041,790
10269.15,8426.15,1035,808
10263.57,8418.57,1029,816
10310.59,8443.59,1032,835
10318.28,8453.28,1034,831
10312.04,8432.04,1033,847
10306.19,8440.19,1023,843
10312.11,8448.11,1022,842
10337.84,8454.84,1017,866
10351.45,8465.45,1024,862
10345.91,8464.91,1006,875
10345.37,8458.37,1017,870
10378.13,8468.13,1018,892
10371.83,8434.83,1019,918
10366.87,8418.87,1019,929
10347.55,8418.55,1017,912
10385.11,8440.11,1021,924
10388.22,8442.22,1032,914
10342.06,8405.06,1029,908
10350.35,8414.35,1023,913
10356.17,8398.17,1031,927
10353.79,8362.79,1039,952
10385.44,8386.44,1041,958
10401.47,8366.47,1045,990
10392.9,8384.9,1049,959
10449.27,8423.27,1057,969
10421.69,8398.69,1050,973
10462.25,8436.25,1043,983
10454.15,8413.15,1057,984
10472.86,8405.86,1066,1001
10461.78,8404.78,1058,999
10457.09,8393.09,1043,1021
10467.72,8405.72,1040,1022
10471.53,8405.53,1043,1023
10489.1,8429.1,1038,1022
10456.6,8412.6,1034,1010
10490.21,8444.21,1022,1024
10483.11,8420.11,1018,1045
10495.35,8442.35,1012,1041
10486.19,8453.19,1001,1032
10481.32,8443.32,992,1046
10518.12,8445.12,995,1078
10538.98,8472.98,990,1076
10497.88,8417.88,996,1084
10467.14,8382.14,995,1090
10505.24,8426.24,1002,1077
10520.63,8421.63,1019,1080
10521.72,8385.72,1026,1110
10527.87,8389.87,1029,1109
10546.55,8402.55,1032,1112
10512.95,8368.95,1026,1118
10509.1,8368.1,1013,1128
10519.09,8388.09,993,1138
10579.38,8441.38,1000,1138
10533.2,8392.2,1011,1130
10541.6,8356.6,1020,1165
10513,8334,1007,1172
10531.07,8384.07,976,1171
10521.29,8371.29,975,1175
10532.48,8399.48,972,1161
10537.71,8391.71,969,1177
10550.88,8400.88,963,1187
10530.93,8424.93,938,1168
10521.67,8457.67,905,1159
10532.42,8457.42,888,1187
10560.21,8437.21,904,1219
10550.92,8401.92,904,1245
10531.14,8369.14,903,1259
10555.79,8350.79,921,1284
10572.46,8397.46,923,1252
10601.27,8386.27,917,1298
10594.88,8383.88,917,1294
10586.59,8372.59,921,1293
10599.81,8386.81,921,1292
10585.07,8336.07,922,1327
10586.55,8309.55,922,1355
10589.43,8360.43,910,1319
10633.13,8407.13,896,1330
10646.4,8447.4,883,1316
10645.79,8425.79,894,1326
10637.14,8402.14,903,1332
10601.7,8346.7,917,1338
10602.47,8326.47,932,1344
10677.65,8368.65,947,1362
10649.82,8329.82,956,1364
10623.34,8288.34,961,1374
10620.62,8301.62,945,1374
10641.65,8300.65,939,1402
10637.4,8307.4,927,1403
10640.3,8263.3,943,1434
10637.27,8247.27,955,1435
10632.87,8234.87,947,1451
10633.53,8265.53,944,1424
10635.13,8265.13,945,1425
10645.87,8290.87,944,1411
10672.74,8316.74,962,1394
10631.31,8255.31,972,1404
10650.83,8277.83,977,1396
10669.19,8287.19,988,1394
