Solar,Wind
921,1293
921,1292
922,1327
922,1355
910,1319
896,1330
883,1316
894,1326
903,1332
917,1338
932,1344
947,1362
956,1364
961,1374
945,1374
939,1402
927,1403
943,1434
955,1435
947,1451
944,1424
945,1425
944,1411
962,1394
972,1404
977,1396
988,1394
987,1405
976,1399
970,1417
981,1424
988,1415
976,1411
965,1425
944,1395
935,1405
929,1400
928,1404
924,1402
916,1395
916,1408
912,1410
904,1418
911,1402
927,1392
921,1398
906,1393
898,1396
903,1374
895,1394
867,1414
859,1395
821,1384
809,1386
802,1383
811,1376
822,1371
842,1372
850,1354
869,1336
862,1343
877,1351
892,1331
919,1344
923,1323
929,1333
926,1338
934,1347
920,1339
869,1328
859,1301
850,1279
866,1289
879,1277
849,1297
804,1305
753,1279
716,1245
664,1265
642,1262
638,1271
657,1249
674,1262
694,1267
695,1266
712,1267
703,1266
708,1253
710,1274
722,1253
723,1247
764,1265
814,1268
853,1273
843,1288
817,1260
771,1245
784,1253
767,1245
755,1249
744,1227
731,1245
729,1230
725,1264
710,1273
692,1290
677,1267
668,1257
671,1248
693,1255
692,1239
684,1227
682,1232
690,1249
689,1242
696,1241
697,1231
727,1226
771,1225
823,1226
853,1220
866,1214
853,1206
832,1207
833,1202
844,1214
846,1200
869,1197
904,1221
928,1212
937,1226
975,1251
976,1244
974,1230
964,1223
959,1213
971,1206
979,1197
957,1178
960,1200
961,1210
961,1210
905,1213
872,1232
840,1230
783,1214
702,1210
679,1199
697,1197
716,1184
725,1173
737,1166
745,1156
759,1166
770,1176
789,1178
814,1169
818,1165
811,1176
802,1175
793,1167
824,1158
807,1150
809,1158
819,1147
830,1151
835,1171
831,1174
864,1185
902,1139
925,1148
924,1134
901,1126
903,1134
890,1110
877,1146
880,1153
862,1145
846,1125
846,1127
830,1135
835,1126
812,1102
800,1092
807,1093
828,1099
846,1091
884,1105
876,1107
912,1125
930,1116
932,1132
920,1131
919,1122
917,1148
922,1159
916,1165
923,1157
926,1155
924,1147
920,1145
926,1158
918,1159
907,1176
897,1167
887,1200
875,1187
883,1193
890,1195
895,1194
889,1198
889,1206
884,1243
886,1215
889,1200
903,1219
899,1246
900,1256
896,1256
894,1265
880,1253
874,1258
883,1250
888,1277
884,1273
891,1259
893,1248
886,1243
867,1248
836,1254
836,1248
847,1262
842,1266
854,1238
867,1243
881,1237
883,1241
894,1235
879,1241
873,1261
869,1260
873,1277
855,1297
849,1302
833,1303
827,1286
819,1299
817,1279
820,1279
843,1273
844,1281
871,1303
865,1304
871,1299
861,1291
